,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
31,Bedplaces,Number,Hotels and similar accommodation,Piemonte,2021,79892.0
32,Bedplaces,Number,Hotels and similar accommodation,Piemonte,2022,80182.0
33,Bedplaces,Number,Hotels and similar accommodation,Piemonte,2023,80179.0
36,Bedplaces,Number,Hotels and similar accommodation,Valle d'Aosta,2021,24920.0
37,Bedplaces,Number,Hotels and similar accommodation,Valle d'Aosta,2022,25035.0
38,Bedplaces,Number,Hotels and similar accommodation,Valle d'Aosta,2023,24608.0
41,Bedplaces,Number,Hotels and similar accommodation,Liguria,2021,59691.0
42,Bedplaces,Number,Hotels and similar accommodation,Liguria,2022,58741.0
43,Bedplaces,Number,Hotels and similar accommodation,Liguria,2023,58123.0
46,Bedplaces,Number,Hotels and similar accommodation,Lombardia,2021,197789.0
47,Bedplaces,Number,Hotels and similar accommodation,Lombardia,2022,200067.0
48,Bedplaces,Number,Hotels and similar accommodation,Lombardia,2023,197352.0
56,Bedplaces,Number,Hotels and similar accommodation,Abruzzo,2021,50311.0
57,Bedplaces,Number,Hotels and similar accommodation,Abruzzo,2022,50438.0
58,Bedplaces,Number,Hotels and similar accommodation,Abruzzo,2023,50476.0
61,Bedplaces,Number,Hotels and similar accommodation,Molise,2021,4975.0
62,Bedplaces,Number,Hotels and similar accommodation,Molise,2022,4849.0
63,Bedplaces,Number,Hotels and similar accommodation,Molise,2023,4849.0
66,Bedplaces,Number,Hotels and similar accommodation,Campania,2021,126086.0
67,Bedplaces,Number,Hotels and similar accommodation,Campania,2022,126633.0
68,Bedplaces,Number,Hotels and similar accommodation,Campania,2023,126857.0
71,Bedplaces,Number,Hotels and similar accommodation,Puglia,2021,109118.0
72,Bedplaces,Number,Hotels and similar accommodation,Puglia,2022,109649.0
73,Bedplaces,Number,Hotels and similar accommodation,Puglia,2023,110540.0
76,Bedplaces,Number,Hotels and similar accommodation,Basilicata,2021,18837.0
77,Bedplaces,Number,Hotels and similar accommodation,Basilicata,2022,19733.0
78,Bedplaces,Number,Hotels and similar accommodation,Basilicata,2023,19910.0
81,Bedplaces,Number,Hotels and similar accommodation,Calabria,2021,97019.0
82,Bedplaces,Number,Hotels and similar accommodation,Calabria,2022,97495.0
83,Bedplaces,Number,Hotels and similar accommodation,Calabria,2023,93901.0
91,Bedplaces,Number,Hotels and similar accommodation,Sicilia,2021,124042.0
92,Bedplaces,Number,Hotels and similar accommodation,Sicilia,2022,123618.0
93,Bedplaces,Number,Hotels and similar accommodation,Sicilia,2023,124542.0
96,Bedplaces,Number,Hotels and similar accommodation,Sardegna,2021,110787.0
97,Bedplaces,Number,Hotels and similar accommodation,Sardegna,2022,111274.0
98,Bedplaces,Number,Hotels and similar accommodation,Sardegna,2023,112550.0
106,Bedplaces,Number,Hotels and similar accommodation,Trentino-Alto Adige,2021,151905.0
107,Bedplaces,Number,Hotels and similar accommodation,Trentino-Alto Adige,2022,153549.0
108,Bedplaces,Number,Hotels and similar accommodation,Trentino-Alto Adige,2023,158428.0
111,Bedplaces,Number,Hotels and similar accommodation,Trentino-Alto Adige,2021,90554.0
112,Bedplaces,Number,Hotels and similar accommodation,Trentino-Alto Adige,2022,90459.0
113,Bedplaces,Number,Hotels and similar accommodation,Trentino-Alto Adige,2023,90569.0
116,Bedplaces,Number,Hotels and similar accommodation,Veneto,2021,208630.0
117,Bedplaces,Number,Hotels and similar accommodation,Veneto,2022,214710.0
118,Bedplaces,Number,Hotels and similar accommodation,Veneto,2023,212246.0
121,Bedplaces,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2021,43185.0
122,Bedplaces,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2022,42919.0
123,Bedplaces,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2023,43651.0
126,Bedplaces,Number,Hotels and similar accommodation,Emilia-Romagna,2021,282879.0
127,Bedplaces,Number,Hotels and similar accommodation,Emilia-Romagna,2022,282909.0
128,Bedplaces,Number,Hotels and similar accommodation,Emilia-Romagna,2023,281923.0
136,Bedplaces,Number,Hotels and similar accommodation,Toscana,2021,185742.0
137,Bedplaces,Number,Hotels and similar accommodation,Toscana,2022,186514.0
138,Bedplaces,Number,Hotels and similar accommodation,Toscana,2023,185930.0
141,Bedplaces,Number,Hotels and similar accommodation,Umbria,2021,27470.0
142,Bedplaces,Number,Hotels and similar accommodation,Umbria,2022,25223.0
143,Bedplaces,Number,Hotels and similar accommodation,Umbria,2023,25255.0
146,Bedplaces,Number,Hotels and similar accommodation,Marche,2021,53259.0
147,Bedplaces,Number,Hotels and similar accommodation,Marche,2022,53246.0
148,Bedplaces,Number,Hotels and similar accommodation,Marche,2023,52421.0
151,Bedplaces,Number,Hotels and similar accommodation,Lazio,2021,185585.0
152,Bedplaces,Number,Hotels and similar accommodation,Lazio,2022,184745.0
153,Bedplaces,Number,Hotels and similar accommodation,Lazio,2023,178489.0
185,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,200669.0
186,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,201515.0
187,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,203842.0
190,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,57787.0
191,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,57850.0
192,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,55844.0
195,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,152346.0
196,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,154154.0
197,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,154328.0
200,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,398027.0
201,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,410056.0
202,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,412321.0
210,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,116929.0
211,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,118241.0
212,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,120713.0
215,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2021,11570.0
216,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2022,11524.0
217,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2023,11528.0
220,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2021,228560.0
221,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2022,233492.0
222,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2023,240924.0
225,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,294312.0
226,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,315608.0
227,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,301782.0
230,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,36341.0
231,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,37451.0
232,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,38452.0
235,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,181573.0
236,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,185677.0
237,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,173921.0
245,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,210001.0
246,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,215420.0
247,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,219098.0
250,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,218073.0
251,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,222074.0
252,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,223033.0
260,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,229678.0
261,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,239609.0
262,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,250238.0
265,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,165215.0
266,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,167726.0
267,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,172694.0
270,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,733163.0
271,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,741249.0
272,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,765316.0
275,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,158796.0
276,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,156853.0
277,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,160811.0
280,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,450275.0
281,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,451516.0
282,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,453614.0
290,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,578733.0
291,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,581163.0
292,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,592619.0
295,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,87961.0
296,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,85656.0
297,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,86991.0
300,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2021,177121.0
301,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2022,180420.0
302,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2023,176231.0
305,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,433045.0
306,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,432980.0
307,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,392816.0
339,Bedplaces,Number,Holiday and other short-stay accommodation,Piemonte,2021,74931.0
340,Bedplaces,Number,Holiday and other short-stay accommodation,Piemonte,2022,76276.0
341,Bedplaces,Number,Holiday and other short-stay accommodation,Piemonte,2023,77817.0
344,Bedplaces,Number,Holiday and other short-stay accommodation,Valle d'Aosta,2021,16769.0
345,Bedplaces,Number,Holiday and other short-stay accommodation,Valle d'Aosta,2022,16837.0
346,Bedplaces,Number,Holiday and other short-stay accommodation,Valle d'Aosta,2023,15715.0
349,Bedplaces,Number,Holiday and other short-stay accommodation,Liguria,2021,38590.0
350,Bedplaces,Number,Holiday and other short-stay accommodation,Liguria,2022,40989.0
351,Bedplaces,Number,Holiday and other short-stay accommodation,Liguria,2023,41965.0
354,Bedplaces,Number,Holiday and other short-stay accommodation,Lombardia,2021,114980.0
355,Bedplaces,Number,Holiday and other short-stay accommodation,Lombardia,2022,124699.0
356,Bedplaces,Number,Holiday and other short-stay accommodation,Lombardia,2023,135998.0
364,Bedplaces,Number,Holiday and other short-stay accommodation,Abruzzo,2021,28039.0
365,Bedplaces,Number,Holiday and other short-stay accommodation,Abruzzo,2022,30452.0
366,Bedplaces,Number,Holiday and other short-stay accommodation,Abruzzo,2023,34246.0
369,Bedplaces,Number,Holiday and other short-stay accommodation,Molise,2021,3558.0
370,Bedplaces,Number,Holiday and other short-stay accommodation,Molise,2022,3638.0
371,Bedplaces,Number,Holiday and other short-stay accommodation,Molise,2023,3642.0
374,Bedplaces,Number,Holiday and other short-stay accommodation,Campania,2021,67681.0
375,Bedplaces,Number,Holiday and other short-stay accommodation,Campania,2022,71944.0
376,Bedplaces,Number,Holiday and other short-stay accommodation,Campania,2023,79152.0
379,Bedplaces,Number,Holiday and other short-stay accommodation,Puglia,2021,116475.0
380,Bedplaces,Number,Holiday and other short-stay accommodation,Puglia,2022,138767.0
381,Bedplaces,Number,Holiday and other short-stay accommodation,Puglia,2023,123067.0
384,Bedplaces,Number,Holiday and other short-stay accommodation,Basilicata,2021,13148.0
385,Bedplaces,Number,Holiday and other short-stay accommodation,Basilicata,2022,13362.0
386,Bedplaces,Number,Holiday and other short-stay accommodation,Basilicata,2023,14186.0
389,Bedplaces,Number,Holiday and other short-stay accommodation,Calabria,2021,33681.0
390,Bedplaces,Number,Holiday and other short-stay accommodation,Calabria,2022,37646.0
391,Bedplaces,Number,Holiday and other short-stay accommodation,Calabria,2023,36162.0
399,Bedplaces,Number,Holiday and other short-stay accommodation,Sicilia,2021,64302.0
400,Bedplaces,Number,Holiday and other short-stay accommodation,Sicilia,2022,70080.0
401,Bedplaces,Number,Holiday and other short-stay accommodation,Sicilia,2023,73012.0
404,Bedplaces,Number,Holiday and other short-stay accommodation,Sardegna,2021,58192.0
405,Bedplaces,Number,Holiday and other short-stay accommodation,Sardegna,2022,61616.0
406,Bedplaces,Number,Holiday and other short-stay accommodation,Sardegna,2023,64492.0
414,Bedplaces,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2021,62731.0
415,Bedplaces,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2022,70386.0
416,Bedplaces,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2023,75945.0
419,Bedplaces,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2021,37722.0
420,Bedplaces,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2022,38543.0
421,Bedplaces,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2023,41092.0
424,Bedplaces,Number,Holiday and other short-stay accommodation,Veneto,2021,330646.0
425,Bedplaces,Number,Holiday and other short-stay accommodation,Veneto,2022,332522.0
426,Bedplaces,Number,Holiday and other short-stay accommodation,Veneto,2023,361393.0
429,Bedplaces,Number,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2021,101017.0
430,Bedplaces,Number,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2022,99740.0
431,Bedplaces,Number,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2023,102966.0
434,Bedplaces,Number,Holiday and other short-stay accommodation,Emilia-Romagna,2021,91535.0
435,Bedplaces,Number,Holiday and other short-stay accommodation,Emilia-Romagna,2022,95074.0
436,Bedplaces,Number,Holiday and other short-stay accommodation,Emilia-Romagna,2023,97671.0
444,Bedplaces,Number,Holiday and other short-stay accommodation,Toscana,2021,229237.0
445,Bedplaces,Number,Holiday and other short-stay accommodation,Toscana,2022,230266.0
446,Bedplaces,Number,Holiday and other short-stay accommodation,Toscana,2023,245311.0
449,Bedplaces,Number,Holiday and other short-stay accommodation,Umbria,2021,49938.0
450,Bedplaces,Number,Holiday and other short-stay accommodation,Umbria,2022,49879.0
451,Bedplaces,Number,Holiday and other short-stay accommodation,Umbria,2023,52110.0
454,Bedplaces,Number,Holiday and other short-stay accommodation,Marche,2021,61214.0
455,Bedplaces,Number,Holiday and other short-stay accommodation,Marche,2022,65267.0
456,Bedplaces,Number,Holiday and other short-stay accommodation,Marche,2023,68311.0
459,Bedplaces,Number,Holiday and other short-stay accommodation,Lazio,2021,167160.0
460,Bedplaces,Number,Holiday and other short-stay accommodation,Lazio,2022,167781.0
461,Bedplaces,Number,Holiday and other short-stay accommodation,Lazio,2023,135856.0
493,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,120777.0
494,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,121333.0
495,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,123663.0
498,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,32867.0
499,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,32815.0
500,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,31236.0
503,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,92655.0
504,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,95413.0
505,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,96205.0
508,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,200238.0
509,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,209989.0
510,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,214969.0
518,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,66618.0
519,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,67803.0
520,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,70237.0
523,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2021,6595.0
524,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2022,6675.0
525,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2023,6679.0
528,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2021,102474.0
529,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2022,106859.0
530,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2023,114067.0
533,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,185194.0
534,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,205959.0
535,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,191242.0
538,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,17504.0
539,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,17718.0
540,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,18542.0
543,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,84554.0
544,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,88182.0
545,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,80020.0
553,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,85959.0
554,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,91802.0
555,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,94556.0
558,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,107286.0
559,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,110800.0
560,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,110483.0
568,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,77773.0
569,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,86060.0
570,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,91810.0
573,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,74661.0
574,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,77267.0
575,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,82125.0
578,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,524533.0
579,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,526539.0
580,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,553070.0
583,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,115611.0
584,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,113934.0
585,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,117160.0
588,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,167396.0
589,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,168607.0
590,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,171691.0
598,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,392991.0
599,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,394649.0
600,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,406689.0
603,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,60491.0
604,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,60433.0
605,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,61736.0
608,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2021,123862.0
609,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2022,127174.0
610,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2023,123810.0
613,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,247460.0
614,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,248235.0
615,Bedplaces,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,214327.0
647,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,45846.0
648,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,45057.0
649,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,45846.0
652,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,16098.0
653,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,15978.0
654,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,15521.0
657,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,54065.0
658,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,54424.0
659,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,54240.0
