,Indicator,Residence_Type,unit,Region,Year,Value
1153,Nights spent,Total,Number,Liguria,2022,856174
1154,Nights spent,Total,Number,Liguria,2023,1016018
1157,Nights spent,Total,Number,Liguria,2021,901372
1158,Nights spent,Total,Number,Liguria,2022,1591201
1159,Nights spent,Total,Number,Liguria,2023,2123998
1162,Nights spent,Total,Number,Liguria,2021,938790
1163,Nights spent,Total,Number,Liguria,2022,1686347
1164,Nights spent,Total,Number,Liguria,2023,2025989
1167,Nights spent,Total,Number,Lombardia,2021,216926
1168,Nights spent,Total,Number,Lombardia,2022,384999
1169,Nights spent,Total,Number,Lombardia,2023,505092
1172,Nights spent,Total,Number,Lombardia,2021,900340
1173,Nights spent,Total,Number,Lombardia,2022,1717179
1174,Nights spent,Total,Number,Lombardia,2023,2140079
1177,Nights spent,Total,Number,Lombardia,2021,308989
1178,Nights spent,Total,Number,Lombardia,2022,605315
1179,Nights spent,Total,Number,Lombardia,2023,791919
1182,Nights spent,Total,Number,Lombardia,2021,252011
1183,Nights spent,Total,Number,Lombardia,2022,518278
1184,Nights spent,Total,Number,Lombardia,2023,679662
1187,Nights spent,Total,Number,Lombardia,2021,286554
1188,Nights spent,Total,Number,Lombardia,2022,611310
1189,Nights spent,Total,Number,Lombardia,2023,863400
1192,Nights spent,Total,Number,Lombardia,2021,998420
1193,Nights spent,Total,Number,Lombardia,2022,1539456
1194,Nights spent,Total,Number,Lombardia,2023,1774226
1197,Nights spent,Total,Number,Lombardia,2021,56059
1198,Nights spent,Total,Number,Lombardia,2022,99179
1199,Nights spent,Total,Number,Lombardia,2023,129801
1202,Nights spent,Total,Number,Lombardia,2021,12376
1203,Nights spent,Total,Number,Lombardia,2022,16451
1204,Nights spent,Total,Number,Lombardia,2023,21076
1207,Nights spent,Total,Number,Lombardia,2021,20363
1208,Nights spent,Total,Number,Lombardia,2022,39448
1209,Nights spent,Total,Number,Lombardia,2023,60372
1212,Nights spent,Total,Number,Lombardia,2021,58755
1213,Nights spent,Total,Number,Lombardia,2022,93467
1214,Nights spent,Total,Number,Lombardia,2023,122160
1217,Nights spent,Total,Number,Lombardia,2021,1821548
1218,Nights spent,Total,Number,Lombardia,2022,4279303
1219,Nights spent,Total,Number,Lombardia,2023,6840479
1222,Nights spent,Total,Number,Lombardia,2021,68374
1223,Nights spent,Total,Number,Lombardia,2022,114180
1224,Nights spent,Total,Number,Lombardia,2023,182208
1227,Nights spent,Total,Number,Abruzzo,2021,127847
1228,Nights spent,Total,Number,Abruzzo,2022,227282
1229,Nights spent,Total,Number,Abruzzo,2023,267670
1232,Nights spent,Total,Number,Abruzzo,2021,165465
1233,Nights spent,Total,Number,Abruzzo,2022,230687
1234,Nights spent,Total,Number,Abruzzo,2023,259847
1237,Nights spent,Total,Number,Abruzzo,2021,131912
1238,Nights spent,Total,Number,Abruzzo,2022,202932
1239,Nights spent,Total,Number,Abruzzo,2023,275399
1242,Nights spent,Total,Number,Abruzzo,2021,164779
1243,Nights spent,Total,Number,Abruzzo,2022,235866
1244,Nights spent,Total,Number,Abruzzo,2023,288657
1247,Nights spent,Total,Number,Molise,2021,11654
1248,Nights spent,Total,Number,Molise,2022,20011
1249,Nights spent,Total,Number,Molise,2023,24670
1252,Nights spent,Total,Number,Molise,2021,48478
1253,Nights spent,Total,Number,Molise,2022,68990
1254,Nights spent,Total,Number,Molise,2023,92945
1257,Nights spent,Total,Number,Campania,2021,39335
1258,Nights spent,Total,Number,Campania,2022,75408
1259,Nights spent,Total,Number,Campania,2023,108953
1262,Nights spent,Total,Number,Campania,2021,13708
1263,Nights spent,Total,Number,Campania,2022,22165
1264,Nights spent,Total,Number,Campania,2023,29784
1267,Nights spent,Total,Number,Campania,2021,1633416
1268,Nights spent,Total,Number,Campania,2022,4268224
1269,Nights spent,Total,Number,Campania,2023,5889400
1272,Nights spent,Total,Number,Campania,2021,8404
1273,Nights spent,Total,Number,Campania,2022,22585
1274,Nights spent,Total,Number,Campania,2023,28648
1277,Nights spent,Total,Number,Campania,2021,776703
1278,Nights spent,Total,Number,Campania,2022,1645881
1279,Nights spent,Total,Number,Campania,2023,1985016
1282,Nights spent,Total,Number,Puglia,2021,219426
1283,Nights spent,Total,Number,Puglia,2022,335114
1284,Nights spent,Total,Number,Puglia,2023,416508
1287,Nights spent,Total,Number,Puglia,2021,514706
1288,Nights spent,Total,Number,Puglia,2022,855175
1289,Nights spent,Total,Number,Puglia,2023,1052305
1292,Nights spent,Total,Number,Puglia,2021,1538927
1293,Nights spent,Total,Number,Puglia,2022,1939706
1294,Nights spent,Total,Number,Puglia,2023,2206317
1297,Nights spent,Total,Number,Puglia,2021,208983
1298,Nights spent,Total,Number,Puglia,2022,268539
1299,Nights spent,Total,Number,Puglia,2023,299042
1302,Nights spent,Total,Number,Puglia,2021,784866
1303,Nights spent,Total,Number,Puglia,2022,1591548
1304,Nights spent,Total,Number,Puglia,2023,2187258
1307,Nights spent,Total,Number,Puglia,2021,40818
1308,Nights spent,Total,Number,Puglia,2022,75965
1309,Nights spent,Total,Number,Puglia,2023,109534
1312,Nights spent,Total,Number,Basilicata,2021,36687
1313,Nights spent,Total,Number,Basilicata,2022,53394
1314,Nights spent,Total,Number,Basilicata,2023,58867
1317,Nights spent,Total,Number,Basilicata,2021,129580
1318,Nights spent,Total,Number,Basilicata,2022,215190
1319,Nights spent,Total,Number,Basilicata,2023,252061
1322,Nights spent,Total,Number,Calabria,2021,126677
1323,Nights spent,Total,Number,Calabria,2022,165442
1324,Nights spent,Total,Number,Calabria,2023,175714
1327,Nights spent,Total,Number,Calabria,2021,33073
1328,Nights spent,Total,Number,Calabria,2022,45030
1329,Nights spent,Total,Number,Calabria,2023,48506
1332,Nights spent,Total,Number,Calabria,2021,59639
1333,Nights spent,Total,Number,Calabria,2022,84709
1334,Nights spent,Total,Number,Calabria,2023,100166
1337,Nights spent,Total,Number,Calabria,2021,231630
1338,Nights spent,Total,Number,Calabria,2022,308586
1339,Nights spent,Total,Number,Calabria,2023,365806
1342,Nights spent,Total,Number,Calabria,2021,68872
1343,Nights spent,Total,Number,Calabria,2022,102038
1344,Nights spent,Total,Number,Calabria,2023,127058
1347,Nights spent,Total,Number,Sicilia,2021,927402
1348,Nights spent,Total,Number,Sicilia,2022,1387363
1349,Nights spent,Total,Number,Sicilia,2023,1621862
1352,Nights spent,Total,Number,Sicilia,2021,1137638
1353,Nights spent,Total,Number,Sicilia,2022,2262085
1354,Nights spent,Total,Number,Sicilia,2023,2864681
1357,Nights spent,Total,Number,Sicilia,2021,578811
1358,Nights spent,Total,Number,Sicilia,2022,1015809
1359,Nights spent,Total,Number,Sicilia,2023,1267225
1362,Nights spent,Total,Number,Sicilia,2021,268927
1363,Nights spent,Total,Number,Sicilia,2022,397901
1364,Nights spent,Total,Number,Sicilia,2023,449950
1367,Nights spent,Total,Number,Sicilia,2021,11103
1368,Nights spent,Total,Number,Sicilia,2022,18292
1369,Nights spent,Total,Number,Sicilia,2023,24933
1372,Nights spent,Total,Number,Sicilia,2021,14017
1373,Nights spent,Total,Number,Sicilia,2022,21324
1374,Nights spent,Total,Number,Sicilia,2023,28683
1377,Nights spent,Total,Number,Sicilia,2021,725341
1378,Nights spent,Total,Number,Sicilia,2022,1498940
1379,Nights spent,Total,Number,Sicilia,2023,1907517
1382,Nights spent,Total,Number,Sicilia,2021,294383
1383,Nights spent,Total,Number,Sicilia,2022,451206
1384,Nights spent,Total,Number,Sicilia,2023,534345
1387,Nights spent,Total,Number,Sicilia,2021,765858
1388,Nights spent,Total,Number,Sicilia,2022,1285298
1389,Nights spent,Total,Number,Sicilia,2023,1472896
1392,Nights spent,Total,Number,Sardegna,2021,1812988
1393,Nights spent,Total,Number,Sardegna,2022,2944055
1394,Nights spent,Total,Number,Sardegna,2023,3245091
1397,Nights spent,Total,Number,Sardegna,2021,454500
1398,Nights spent,Total,Number,Sardegna,2022,723519
1399,Nights spent,Total,Number,Sardegna,2023,827290
1402,Nights spent,Total,Number,Sardegna,2021,599967
1403,Nights spent,Total,Number,Sardegna,2022,966246
1404,Nights spent,Total,Number,Sardegna,2023,1122196
1407,Nights spent,Total,Number,Sardegna,2021,135760
1408,Nights spent,Total,Number,Sardegna,2022,218995
1409,Nights spent,Total,Number,Sardegna,2023,255325
1412,Nights spent,Total,Number,Sardegna,2021,581050
1413,Nights spent,Total,Number,Sardegna,2022,867880
1414,Nights spent,Total,Number,Sardegna,2023,963163
1417,Nights spent,Total,Number,Trentino-Alto Adige,2021,784346
1418,Nights spent,Total,Number,Trentino-Alto Adige,2022,1617928
1419,Nights spent,Total,Number,Trentino-Alto Adige,2023,2073058
1422,Nights spent,Total,Number,Trentino-Alto Adige,2021,860569
1423,Nights spent,Total,Number,Trentino-Alto Adige,2022,1502863
1424,Nights spent,Total,Number,Trentino-Alto Adige,2023,1864832
1427,Nights spent,Total,Number,Veneto,2021,1065357
1428,Nights spent,Total,Number,Veneto,2022,2005261
1429,Nights spent,Total,Number,Veneto,2023,2445326
1432,Nights spent,Total,Number,Veneto,2021,114841
1433,Nights spent,Total,Number,Veneto,2022,191543
1434,Nights spent,Total,Number,Veneto,2023,246634
1437,Nights spent,Total,Number,Veneto,2021,246522
1438,Nights spent,Total,Number,Veneto,2022,422506
1439,Nights spent,Total,Number,Veneto,2023,557404
1442,Nights spent,Total,Number,Veneto,2021,131980
1443,Nights spent,Total,Number,Veneto,2022,244229
1444,Nights spent,Total,Number,Veneto,2023,315975
1447,Nights spent,Total,Number,Veneto,2021,2229704
1448,Nights spent,Total,Number,Veneto,2022,4629329
1449,Nights spent,Total,Number,Veneto,2023,5499954
1452,Nights spent,Total,Number,Veneto,2021,186452
1453,Nights spent,Total,Number,Veneto,2022,380238
1454,Nights spent,Total,Number,Veneto,2023,484587
1457,Nights spent,Total,Number,Veneto,2021,52396
1458,Nights spent,Total,Number,Veneto,2022,71443
1459,Nights spent,Total,Number,Veneto,2023,80846
1462,Nights spent,Total,Number,Friuli Venezia Giulia,2021,32442
1463,Nights spent,Total,Number,Friuli Venezia Giulia,2022,47570
1464,Nights spent,Total,Number,Friuli Venezia Giulia,2023,62492
1467,Nights spent,Total,Number,Friuli Venezia Giulia,2021,356395
1468,Nights spent,Total,Number,Friuli Venezia Giulia,2022,490989
1469,Nights spent,Total,Number,Friuli Venezia Giulia,2023,615413
1472,Nights spent,Total,Number,Friuli Venezia Giulia,2021,75637
1473,Nights spent,Total,Number,Friuli Venezia Giulia,2022,115364
1474,Nights spent,Total,Number,Friuli Venezia Giulia,2023,160397
1477,Nights spent,Total,Number,Friuli Venezia Giulia,2021,157757
1478,Nights spent,Total,Number,Friuli Venezia Giulia,2022,321871
1479,Nights spent,Total,Number,Friuli Venezia Giulia,2023,476595
1482,Nights spent,Total,Number,Emilia-Romagna,2021,29837
1483,Nights spent,Total,Number,Emilia-Romagna,2022,45779
1484,Nights spent,Total,Number,Emilia-Romagna,2023,58617
1487,Nights spent,Total,Number,Emilia-Romagna,2021,96929
1488,Nights spent,Total,Number,Emilia-Romagna,2022,193069
1489,Nights spent,Total,Number,Emilia-Romagna,2023,241722
1492,Nights spent,Total,Number,Emilia-Romagna,2021,30440
1493,Nights spent,Total,Number,Emilia-Romagna,2022,52833
1494,Nights spent,Total,Number,Emilia-Romagna,2023,77296
1497,Nights spent,Total,Number,Emilia-Romagna,2021,89406
1498,Nights spent,Total,Number,Emilia-Romagna,2022,160284
1499,Nights spent,Total,Number,Emilia-Romagna,2023,194500
1502,Nights spent,Total,Number,Emilia-Romagna,2021,563420
1503,Nights spent,Total,Number,Emilia-Romagna,2022,1266438
1504,Nights spent,Total,Number,Emilia-Romagna,2023,1723707
1507,Nights spent,Total,Number,Emilia-Romagna,2021,92493
1508,Nights spent,Total,Number,Emilia-Romagna,2022,141865
1509,Nights spent,Total,Number,Emilia-Romagna,2023,185626
1512,Nights spent,Total,Number,Emilia-Romagna,2021,116342
1513,Nights spent,Total,Number,Emilia-Romagna,2022,187178
1514,Nights spent,Total,Number,Emilia-Romagna,2023,203391
1517,Nights spent,Total,Number,Emilia-Romagna,2021,55836
1518,Nights spent,Total,Number,Emilia-Romagna,2022,80408
1519,Nights spent,Total,Number,Emilia-Romagna,2023,97725
1522,Nights spent,Total,Number,Emilia-Romagna,2021,269461
1523,Nights spent,Total,Number,Emilia-Romagna,2022,421169
1524,Nights spent,Total,Number,Emilia-Romagna,2023,478928
1527,Nights spent,Total,Number,Toscana,2021,183589
1528,Nights spent,Total,Number,Toscana,2022,279438
1529,Nights spent,Total,Number,Toscana,2023,318233
1532,Nights spent,Total,Number,Toscana,2021,907370
1533,Nights spent,Total,Number,Toscana,2022,1383397
1534,Nights spent,Total,Number,Toscana,2023,1570039
1537,Nights spent,Total,Number,Toscana,2021,154026
1538,Nights spent,Total,Number,Toscana,2022,272391
1539,Nights spent,Total,Number,Toscana,2023,336237
1542,Nights spent,Total,Number,Toscana,2021,1857213
1543,Nights spent,Total,Number,Toscana,2022,4509013
1544,Nights spent,Total,Number,Toscana,2023,6099909
1547,Nights spent,Total,Number,Toscana,2021,28088
1548,Nights spent,Total,Number,Toscana,2022,49813
1549,Nights spent,Total,Number,Toscana,2023,69897
1552,Nights spent,Total,Number,Toscana,2021,872597
1553,Nights spent,Total,Number,Toscana,2022,1157954
1554,Nights spent,Total,Number,Toscana,2023,1297650
1557,Nights spent,Total,Number,Toscana,2021,541130
1558,Nights spent,Total,Number,Toscana,2022,919629
1559,Nights spent,Total,Number,Toscana,2023,1143477
1562,Nights spent,Total,Number,Toscana,2021,414790
1563,Nights spent,Total,Number,Toscana,2022,674374
1564,Nights spent,Total,Number,Toscana,2023,775295
1567,Nights spent,Total,Number,Toscana,2021,754726
1568,Nights spent,Total,Number,Toscana,2022,1289079
1569,Nights spent,Total,Number,Toscana,2023,1523950
1572,Nights spent,Total,Number,Toscana,2021,644879
1573,Nights spent,Total,Number,Toscana,2022,776134
1574,Nights spent,Total,Number,Toscana,2023,849629
1577,Nights spent,Total,Number,Umbria,2021,530618
1578,Nights spent,Total,Number,Umbria,2022,856706
1579,Nights spent,Total,Number,Umbria,2023,963611
1582,Nights spent,Total,Number,Umbria,2021,151019
1583,Nights spent,Total,Number,Umbria,2022,222697
1584,Nights spent,Total,Number,Umbria,2023,265476
1587,Nights spent,Total,Number,Marche,2021,182645
1588,Nights spent,Total,Number,Marche,2022,251037
1589,Nights spent,Total,Number,Marche,2023,276403
1592,Nights spent,Total,Number,Marche,2021,264353
1593,Nights spent,Total,Number,Marche,2022,329709
1594,Nights spent,Total,Number,Marche,2023,362491
1597,Nights spent,Total,Number,Marche,2021,110863
1598,Nights spent,Total,Number,Marche,2022,144816
1599,Nights spent,Total,Number,Marche,2023,161845
1602,Nights spent,Total,Number,Marche,2021,104633
1603,Nights spent,Total,Number,Marche,2022,131627
1604,Nights spent,Total,Number,Marche,2023,148674
1607,Nights spent,Total,Number,Marche,2021,84559
1608,Nights spent,Total,Number,Marche,2022,120271
1609,Nights spent,Total,Number,Marche,2023,128888
1612,Nights spent,Total,Number,Lazio,2021,209894
1613,Nights spent,Total,Number,Lazio,2022,324914
1614,Nights spent,Total,Number,Lazio,2023,371116
1617,Nights spent,Total,Number,Lazio,2021,35472
1618,Nights spent,Total,Number,Lazio,2022,57611
1619,Nights spent,Total,Number,Lazio,2023,64769
1622,Nights spent,Total,Number,Lazio,2021,3411232
1623,Nights spent,Total,Number,Lazio,2022,9215653
1624,Nights spent,Total,Number,Lazio,2023,13509593
1627,Nights spent,Total,Number,Lazio,2021,307434
1628,Nights spent,Total,Number,Lazio,2022,407870
1629,Nights spent,Total,Number,Lazio,2023,460551
1632,Nights spent,Total,Number,Lazio,2021,28996
1633,Nights spent,Total,Number,Lazio,2022,50048
1634,Nights spent,Total,Number,Lazio,2023,63458
