,Region,Year,Value,DS,institution_count
122,Lazio,2023,11376944.0,d4,560
123,Lazio,2023,14469487.0,d2,560
124,Lazio,2023,91454338.0,d5,560
125,Lazio,2023,913662638.0,d3,560
126,Liguria,2021,38.6,d6,281
127,Liguria,2021,20200.0,d1,281
128,Liguria,2021,2969609.0,d2,281
129,Liguria,2021,3494333.0,d4,281
130,Liguria,2021,23582936.0,d5,281
131,Liguria,2021,244572816.0,d3,281
132,Liguria,2022,44.45,d6,281
133,Liguria,2022,20462.0,d1,281
134,Liguria,2022,4874399.0,d4,281
135,Liguria,2022,5045084.0,d2,281
136,Liguria,2022,30939410.0,d5,281
137,Liguria,2022,325464964.0,d3,281
138,Liguria,2023,44.85,d6,281
139,Liguria,2023,20527.0,d1,281
140,Liguria,2023,5199868.0,d4,281
141,Liguria,2023,6218377.0,d2,281
142,Liguria,2023,32168420.0,d5,281
143,Liguria,2023,340513607.0,d3,281
144,Lombardia,2021,37.55,d6,568
145,Lombardia,2021,51721.0,d1,568
146,Lombardia,2021,5000715.0,d2,568
147,Lombardia,2021,8866449.0,d4,568
148,Lombardia,2021,50241166.0,d5,568
149,Lombardia,2021,543764506.0,d3,568
150,Lombardia,2022,51.6,d6,568
151,Lombardia,2022,53506.0,d1,568
152,Lombardia,2022,10018565.0,d2,568
153,Lombardia,2022,14772122.0,d4,568
154,Lombardia,2022,77943090.0,d5,568
155,Lombardia,2022,859898317.0,d3,568
156,Lombardia,2023,52.9,d6,568
157,Lombardia,2023,54271.0,d1,568
158,Lombardia,2023,14110474.0,d2,568
159,Lombardia,2023,17442783.0,d4,568
160,Lombardia,2023,83590146.0,d5,568
161,Lombardia,2023,947656548.0,d3,568
162,Marche,2021,43.099999999999994,d6,369
163,Marche,2021,23545.0,d1,369
164,Marche,2021,747053.0,d2,369
165,Marche,2021,2059423.0,d4,369
166,Marche,2021,19246978.0,d5,369
167,Marche,2021,186926351.0,d3,369
168,Marche,2022,43.0,d6,369
169,Marche,2022,23976.0,d1,369
170,Marche,2022,977460.0,d2,369
171,Marche,2022,2447741.0,d4,369
172,Marche,2022,21200992.0,d5,369
173,Marche,2022,208767240.0,d3,369
174,Marche,2023,45.65,d6,369
175,Marche,2023,23460.0,d1,369
176,Marche,2023,1078301.0,d2,369
177,Marche,2023,2514486.0,d4,369
178,Marche,2023,21321354.0,d5,369
179,Marche,2023,210802302.0,d3,369
180,Molise,2021,33.6,d6,63
181,Molise,2021,1526.0,d1,63
